,Unnamed: 0,Unnamed: 0.1,episode_reward,nb_episode_steps,nb_steps
0,0.0,0.0,190.0,595,595
1,1.0,1.0,255.0,1225,1820
2,2.0,2.0,260.0,640,2460
3,3.0,3.0,290.0,656,3116
4,4.0,4.0,245.0,613,3729
5,5.0,5.0,225.0,635,4364
6,6.0,6.0,270.0,726,5090
7,7.0,7.0,215.0,605,5695
8,8.0,8.0,280.0,719,6414
9,9.0,9.0,270.0,715,7129
10,10.0,10.0,235.0,607,7736
11,11.0,11.0,270.0,722,8458
12,12.0,12.0,280.0,731,9189
13,13.0,13.0,270.0,712,9901
14,14.0,14.0,245.0,623,10524
15,15.0,15.0,220.0,775,11299
16,16.0,16.0,435.0,1051,12350
17,17.0,17.0,360.0,1175,13525
18,18.0,18.0,230.0,607,14132
19,19.0,19.0,210.0,647,14779
20,20.0,20.0,485.0,929,15708
21,21.0,21.0,270.0,859,16567
22,22.0,22.0,495.0,858,17425
23,23.0,23.0,195.0,645,18070
24,24.0,24.0,205.0,635,18705
25,25.0,25.0,150.0,647,19352
26,26.0,26.0,170.0,1254,20606
27,27.0,27.0,410.0,948,21554
28,28.0,28.0,295.0,871,22425
29,29.0,29.0,215.0,798,23223
30,30.0,30.0,220.0,1174,24397
31,31.0,31.0,460.0,1099,25496
32,32.0,32.0,35.0,490,25986
33,33.0,33.0,630.0,1127,27113
34,34.0,34.0,170.0,639,27752
35,35.0,35.0,285.0,778,28530
36,36.0,36.0,190.0,684,29214
37,37.0,37.0,320.0,738,29952
38,38.0,38.0,190.0,643,30595
39,39.0,39.0,250.0,647,31242
40,40.0,40.0,165.0,1132,32374
41,41.0,41.0,190.0,1102,33476
42,42.0,42.0,305.0,823,34299
43,43.0,43.0,310.0,898,35197
44,44.0,44.0,475.0,1064,36261
45,45.0,45.0,320.0,992,37253
46,46.0,46.0,100.0,511,37764
47,47.0,47.0,95.0,521,38285
48,48.0,48.0,155.0,633,38918
49,49.0,49.0,155.0,671,39589
50,50.0,50.0,250.0,853,40442
51,51.0,51.0,440.0,1108,41550
52,52.0,52.0,180.0,591,42141
53,53.0,53.0,595.0,1118,43259
54,54.0,54.0,180.0,588,43847
55,55.0,55.0,205.0,663,44510
56,56.0,56.0,335.0,1185,45695
57,57.0,57.0,285.0,840,46535
58,58.0,58.0,375.0,708,47243
59,59.0,59.0,320.0,946,48189
60,60.0,60.0,300.0,1405,49594
61,61.0,61.0,410.0,1113,50707
62,62.0,62.0,305.0,1090,51797
63,63.0,63.0,145.0,771,52568
64,64.0,64.0,430.0,1149,53717
65,65.0,65.0,230.0,807,54524
66,66.0,66.0,115.0,640,55164
67,67.0,67.0,400.0,1268,56432
68,68.0,68.0,115.0,407,56839
69,69.0,69.0,200.0,893,57732
70,70.0,70.0,510.0,1209,58941
71,71.0,71.0,295.0,888,59829
72,72.0,72.0,420.0,1161,60990
73,73.0,73.0,125.0,537,61527
74,74.0,74.0,20.0,655,62182
75,75.0,75.0,5.0,959,63141
76,76.0,76.0,90.0,617,63758
77,77.0,77.0,130.0,348,64106
78,78.0,78.0,195.0,546,64652
79,79.0,79.0,10.0,650,65302
80,80.0,80.0,110.0,930,66232
81,81.0,81.0,30.0,661,66893
82,82.0,82.0,320.0,867,67760
83,83.0,83.0,145.0,1027,68787
